Locality,Latitude,Longitude,Unit,Plane Type,strike,dip,altitude (m)
5-15-18-1,31.89838889,104.7221,D,Bedding,235,46,
5-15-18-1,31.89838889,104.7221,D,Bedding,253,35,
5-15-18-1,31.89838889,104.7221,D,Fault,252,48,
5-15-18-2,32.34885278,104.6845056,S,Foliation,220,73,
5-15-18-3,32.45911667,104.777675,S,Foliation,,,
5-16-18-1A,32.48743056,104.2478389,S,Bedding,125,60,
5-16-18-1A,32.48743056,104.2478389,S,Bedding,110,70,
5-16-18-1A,32.48743056,104.2478389,S,Foliation,123,55,
5-16-18-1B,32.48822222,104.249,S,Foliation,52,58,
5-16-18-2,32.51463056,104.1368333,C,Bedding,5,72,
5-16-18-2,32.51463056,104.1368333,C,Bedding,335,90,
5-16-18-2,32.51463056,104.1368333,C,Bedding,180,60,
5-16-18-2,32.51463056,104.1368333,C,Bedding,0,60,
5-16-18-3,32.40803611,104.1817417,C,Bedding,153,67,
5-16-18-3,32.40803611,104.1817417,C,Bedding,155,62,
5-17-18-1,32.148,104.503,S,Foliation,,,
5-17-18-2B,32.14354167,104.5107278,S,Cleavage,240,73,
5-17-18-2B,32.14354167,104.5107278,C,Cleavage,240,65,
5-17-18-2C,32.14236667,104.5074083,C,Foliation,205,71,
5-17-18-2C,32.14236667,104.5074083,C,Cleavage,262,80,
5-17-18-2C,32.14236667,104.5074083,C,Foliation,270,90,
5-17-18-2C,32.14236667,104.5074083,C,Fault,325,82,
5-17-18-3,32.023,104.526,S,Foliation,105,61,
5-17-18-4,32.03859722,104.5511472,S,Foliation,230,53,
5-17-18-5,32.03767778,104.5544194,S,Foliation,70,34,
5-17-18-6,32.03856389,104.5634222,S,Foliation,230,28,
5-17-18-7,32.03881667,104.5626917,S,Foliation,260,33,
5-17-18-8,32.03798333,104.5629778,S,Foliation,245,40,
5-17-18-9,32.038,104.563,S,Foliation,,,
5-17-18-10,32.03761944,104.5630194,S,Foliation,102,54,
5-18-18-1,32.71722778,104.0361111,P,Bedding,none,,
5-18-18-3,32.75219444,103.9586111,P,Bedding,none,,
5-18-18-4,32.76041667,103.8462444,S,Foliation,105,90,
5-18-18-6,32.74062778,103.7406194,Tr,Bedding,,,
5-18-18-7,32.79933889,103.6892806,C,Bedding,100,65,
5-18-18-8,32.78426111,103.7066667,P,Bedding,345,68,
5-18-18-8,32.78426111,103.7066667,P,Bedding,350,80,
5-19-18-1A,32.39881944,104.6588611,S,Foliation,267,68,
5-19-18-1A,32.39881944,104.6588611,S,Foliation,315,78,
5-19-18-1B,32.39773889,104.6575194,S,Fault,none,,
5-19-18-2,31.83671111,104.4615111,D,Bedding,200,77,
5-19-18-2,31.83671111,104.4615111,D,Bedding,188,66,
5-19-18-3,31.72299167,104.3938917,Tr,Bedding,240,64,
5-19-18-4,31.72596667,104.3958694,Tr,Bedding,240,63,
5-19-18-5,31.73125,104.4009056,Tr,Bedding,none,,
5-19-18-6,31.73792778,104.4060944,Tr,Bedding,190,30,
5-20-18-1A,31.60925556,104.3147417,Tr,Bedding,245,56,
5-20-18-1B,31.60578056,104.3141056,P,Bedding,260,68,
5-20-18-1B,31.60578056,104.3141056,P,Fault,150,38,
5-20-18-1C,31.606025,104.3138028,P,Bedding,240,54,
5-20-18-2,31.607175,104.3128472,Tr,Bedding,244,70,
5-20-18-3,31.61235556,104.312225,Tr,Bedding,230,35,
5-20-18-4A,31.61556667,104.3104139,Tr,Bedding,243,66,
5-20-18-4B,31.61570278,104.3094056,Tr,Bedding,222,54,
5-20-18-4C,31.61586944,104.3090611,Tr,Bedding,,,
5-20-18-5A,31.62488056,104.3159139,Tr,Bedding,245,42,
5-20-18-5B,31.62514167,104.3182722,Tr,Bedding,,,
5-20-18-5C,31.62519722,104.3184278,Tr,Fault,250,50,
5-20-18-6,31.62675,104.3128472,Tr,Fault,185,76,
5-20-18-7A,31.63099722,104.3088806,Tr,Bedding,,,
5-20-18-7B,31.63243056,104.30815,Tr,Bedding,225,39,
5-20-18-7D,31.63309167,104.3084056,Tr,Bedding,210,34,
5-20-18-8,31.63728056,104.3093417,Tr,Bedding,218,31,
5-20-18-10A,31.63947222,104.301075,Tr,Bedding,250,25,
5-20-18-10B,31.640125,104.3004111,Tr,Bedding,200,34,
5-20-18-11,31.64407222,104.2970028,D,Bedding,278,50,
5-20-18-12,31.64566389,104.2983,D,Bedding,215,18,
5-20-18-13,31.64851944,104.3018583,D,Bedding,240,25,
5-20-18-14,31.64988333,104.3035083,P,Bedding,,,
5-20-18-15,31.65805556,104.3108139,P,Bedding,235,24,
5-20-18-16,31.66084167,104.3140333,C,Bedding,225,42,
5-22-18-1A,31.601875,104.3170694,Tr,Bedding,252,38,
5-22-18-1C,31.60308056,104.3176667,P,Bedding,245,47,
5-22-18-2,31.64429167,104.2922861,Tr,Bedding,,,
5-22-18-3A,31.64575,104.2922861,D,Bedding,,,
5-22-18-3B,31.64742222,104.2905,,Bedding,235,52,
5-22-18-3B,31.64742222,104.2905,,Bedding,262,43,
5-22-18-3C,31.64742222,104.2890194,,Bedding,280,58,
5-22-18-3D,31.64776389,104.2882444,C,Bedding,235,52,
5-22-18-4,31.64736667,104.2876389,C,Bedding,,,
5-22-18-5,31.64591667,104.2834917,C,Bedding,250,43,
5-22-18-6A,31.64651111,104.2800528,C,Bedding,,,
5-22-18-6B,31.64678056,104.2798194,,Fault,230,41,
5-22-18-7,31.64721944,104.276625,P,Bedding,230,47,
5-22-18-8,31.641675,104.2645556,P,Bedding,260,42,
5-22-18-9,31.64452778,104.2616944,,Fault,240,71,
5-22-18-10,31.64869722,104.2650056,,Bedding,260,43,
5-22-18-11,31.65008611,104.2669806,P,Bedding,,,
5-22-18-12,31.65358333,104.2700611,Tr,Bedding,,,
5-22-18-13A,31.65383889,104.2682083,Tr,Fault,,,
5-22-18-13B,31.65504722,104.2679694,Tr,Bedding,248,24,
5-22-18-14,31.65783889,104.2681611,,Bedding,247,48,
5-22-18-15,31.66280278,104.2705833,P,Bedding,238,58,
5-22-18-16,31.66813333,104.2691583,,Bedding,218,57,
5-22-18-17,31.67625,104.2746056,,Bedding,,,
5-22-18-18,31.68029444,104.2732778,C,Bedding,254,59,
5-22-18-19,31.70279167,104.2765,S,Bedding,358,67,
5-22-18-20,31.70446111,104.2726694,,Bedding,223,56,
5-22-18-20,31.70446111,104.2726694,,Foliation,220,57,
5-22-18-21,31.70502222,104.2723389,,Foliation,86,84,
5-22-18-22,31.70766111,104.2704694,,Bedding,142,45,
5-22-18-23A,31.70808611,104.2698611,,Bedding,225,52,
5-22-18-23B,31.70808611,104.2698611,,Bedding,235,63,
5-22-18-24A,31.71115,104.2655389,,Foliation,345,51,
5-22-18-24B,31.71131389,104.2644333,,Foliation,305,60,
5-22-18-25,31.71260833,104.2616194,,Foliation,303,51,
5-22-18-26,31.72145556,104.2571611,,Foliation,303,,
5-22-18-27,31.72453889,104.2562278,,Foliation,315,51,
5-22-18-27,31.72453889,104.2562278,,Foliation,300,32,
5-22-18-28,31.72900556,104.2541167,,Foliation,305,63,
5-22-18-28,31.72900556,104.2541167,,Fault,308,63,
5-22-18-29A,31.7302,104.2520583,,Bedding,22,39,
5-22-18-29B,31.73041389,104.2516694,,Foliation,224,86,
5-22-18-29C,31.73065833,104.2515444,,Foliation,286,45,
5-22-18-30A,31.73158056,104.2526083,,Foliation,331,29,
5-22-18-30B,31.73117222,104.2533694,,Bedding,315,30,
5-22-18-31,31.73136389,104.2557528,,Foliation,350,42,
5-22-18-34,31.73751389,104.2583778,O,Bedding,302,43,
5-22-18-34,31.73751389,104.2583778,O,Foliation,308,51,
5-22-18-35,31.74058611,104.2576,O,Bedding,328,33,
5-23-18-1,32.16905833,104.79805,Z,Foliation,192,33,
5-24-18-1,32.48992778,104.2337306,Z,Foliation,85,84,
5-24-18-1,32.48992778,104.2337306,Z,Foliation,83,86,
5-24-18-1,32.48992778,104.2337306,Z,Fault,,,
5-24-18-1,32.48992778,104.2337306,Z,Bedding,73,90,
5-24-18-2,32.49146667,104.2384,Z,Foliation,72,73,
5-24-18-3A,32.49003056,104.2445611,Z,Foliation,70,70,
5-24-18-3B,32.48803056,104.2448222,Z,Foliation,83,83,
5-24-18-4B,32.48800833,104.2485,Z,Foliation,64,65,
5-24-18-4C,32.48788611,104.2504361,S,Foliation,70,70,
5-24-18-4C,32.48788611,104.2504361,S,Foliation,85,71,
5-24-18-5,32.49027778,104.2558083,,Bedding,72,79,
5-24-18-6,32.48901111,104.2579083,,Foliation,111,84,
5-24-18-6,32.48901111,104.2579083,,Foliation,62,74,
5-24-18-6,32.48901111,104.2579083,,Foliation,120,90,
5-24-18-8,32.48929167,104.2706111,S,Foliation,83,64,
5-24-18-9,32.48930556,104.2714861,S,Foliation,84,64,
5-24-18-9,32.48930556,104.2714861,S,Foliation,79,63,
5-24-18-10,32.49060556,104.2767944,S,Foliation,80,62,
5-24-18-11,32.49656389,104.2846417,Z,Foliation,270,78,
5-24-18-11,32.49656389,104.2846417,Z,Foliation,295,79,
5-24-18-12,32.49795278,104.2879667,Z,Foliation,69,69,
5-24-18-12,32.49795278,104.2879667,Z,Foliation,88,68,
5-24-18-12,32.49795278,104.2879667,Z,Foliation,98,75,
5-24-18-13,32.49592222,104.2958333,S,Foliation,76,65,
5-24-18-14,32.49656389,104.3029611,S,Foliation,88,50,
5-24-18-15,32.49570278,104.3078972,S,Foliation,79,55,
5-24-18-16,32.49670556,104.3170444,S,Foliation,283,50,
5-24-18-16,32.49670556,104.3170444,S,Foliation,302,78,
5-24-18-17,32.49859722,104.3239222,S,Foliation,88,66,
5-24-18-17,32.49859722,104.3239222,S,Foliation,82,52,
5-24-18-18,32.50091111,104.3308528,S,Foliation,67,42,
5-24-18-19,32.50013889,104.3330028,S,Foliation,84,53,
5-24-18-19,32.50013889,104.3330028,S,Foliation,92,43,
5-24-18-19,32.50013889,104.3330028,S,Foliation,82,46,
5-24-18-20,32.49984167,104.3535028,S,Foliation,90,54,
5-24-18-21,32.49833333,104.3628972,S,Foliation,90,47,
5-24-18-22,32.49466667,104.3686417,S,Foliation,93,51,
5-24-18-23,32.46946389,104.5145833,S,Foliation,113,47,
5-24-18-24,32.47096944,104.5104167,S,Foliation,112,53,
5-24-18-24,32.47096944,104.5104167,S,Foliation,103,50,
5-24-18-25,32.46510278,104.4950333,S,Foliation,112,57,
5-24-18-26A,32.46306667,104.480775,S,Bedding,127,60,
5-24-18-26B,32.46264444,104.4801944,S,Foliation,103,55,
5-24-18-26C,32.46163333,104.4797889,S,Foliation,110,60,
5-24-18-26C,32.46163333,104.4797889,S,Foliation,138,68,
5-24-18-26C,32.46163333,104.4797889,S,Foliation,78,66,
5-24-18-26C,32.46163333,104.4797889,S,Foliation,148,66,
5-24-18-26D,32.46108889,104.4798556,S,Foliation,103,55,
5-24-18-28,32.46033611,104.4644917,S,Foliation,107,70,
5-24-18-28,32.46033611,104.4644917,S,Bedding,123,52,
5-24-18-29,32.45855556,104.4529722,D,Foliation,108,60,
5-24-18-30A,32.4599,104.4517667,D,Bedding,100,62,
5-24-18-30B,32.45800278,104.4406778,D,Foliation,121,61,
5-24-18-31,32.46445278,104.4223611,D,Foliation,130,60,
5-24-18-32A,32.46546389,104.4220972,D,Foliation,,,
5-24-18-32B,32.47000278,104.4055528,D/S,Foliation,76,66,
5-24-18-33,32.47679444,104.3958417,S,Foliation,100,63,
5-24-18-34,32.48998333,104.3748722,S,Foliation,95,58,
5-24-18-35,32.499625,104.2275111,S,Foliation,82,48,
5-25-18-1,32.49808611,104.2202417,Z,Foliation,110,90,
5-25-18-2,32.4967166,104.2202417,Z,Foliation,97,90,
5-25-18-3,32.49288627,104.2188333,Z,Foliation,116,85,
5-25-18-4,32.49471651,104.2164055,Z,Foliation,88,90,
5-25-18-5,32.4970603,104.2080167,Z,Foliation,83,90,
5-25-18-6,32.49975834,104.2037583,Z,Foliation,91,90,
5-25-18-7,32.50190279,104.1939333,Z,Foliation,75,79,
5-25-18-8,32.50427779,104.1863722,Z,Foliation,83,70,
5-25-18-9,32.50554723,104.1854722,Z,Foliation,70,76,
5-25-18-10,32.51160834,104.1786972,Z,Foliation,75,80,
5-25-18-11A,32.51296945,104.1762444,Z,Foliation,83,79,
5-25-18-11B,32.51628611,104.1570278,Z,Foliation,82,74,
5-25-18-12,32.51293331,104.1440889,Z,Foliation,122,65,
5-25-18-12,32.51293331,104.1440889,Z,Foliation,135,65,
5-25-18-13,32.51385834,104.1368333,Z,Foliation,95,77,
5-25-18-14,32.51475004,104.1353333,C,Bedding,5,77,
5-25-18-14,32.51475004,104.1353333,C,Bedding,5,87,
5-25-18-14,32.51475004,104.1353333,C,Fault,20,90,
5-25-18-14,32.51475004,104.1353333,C,Fault,183,58,
5-25-18-15A,32.5157889,104.1346667,C,Bedding,187,70,
5-25-18-15A,32.5157889,104.1346667,C,Bedding,205,85,
5-25-18-15B,32.51390558,104.1326389,C,Bedding,162,61,
5-25-18-15C,32.51160557,104.1325195,C,Bedding,180,58,
5-25-18-16,32.51513892,104.1320833,C,Foliation,105,55,
5-25-18-16,32.51513892,104.1320833,C,Bedding,70,65,
5-25-18-16,32.51513892,104.1320833,C,Bedding,90,35,
5-25-18-16,32.51513892,104.1320833,C,Bedding,105,80,
5-25-18-17,32.51491667,104.1677917,C,Bedding,155,78,
5-26-18-2,32.51933611,104.1099361,C,Cleavage,170,65,
5-26-18-2,32.51933611,104.1099361,C,Cleavage,145,64,
5-26-18-2,32.51933611,104.1099361,C,Cleavage,121,66,
5-26-18-3,32.51880833,104.1070556,C,Cleavage,150,70,
5-26-18-3,32.51880833,104.1070556,C,Cleavage,160,68,
5-26-18-4A,32.51910556,104.1054361,C,Cleavage,150,85,
5-26-18-4A,32.51910556,104.1054361,C,Bedding,140,85,
5-26-18-4A,32.51910556,104.1054361,C,Bedding,130,72,
5-26-18-4A,32.51910556,104.1054361,C,Cleavage,153,84,
5-26-18-4B,32.51860556,104.0982861,D,Foliation,130,90,
5-26-18-4B,32.51860556,104.0982861,D,Bedding,130,83,
5-26-18-4B,32.51860556,104.0982861,D,Bedding,5,75,
5-26-18-4B,32.51860556,104.0982861,D,Cleavage,143,90,
5-26-18-5,32.51804444,104.0947611,D,Bedding,145,62,
5-26-18-5,32.51804444,104.0947611,D,Bedding,45,40,
5-26-18-5,32.51804444,104.0947611,D,Cleavage,15,78,
5-26-18-6A,32.51757778,104.0937194,C,Cleavage,325,78,
5-26-18-6A,32.51757778,104.0937194,C,Foliation,123,90,
5-26-18-6B,32.51666667,104.0897417,C,Overturned bedding,305,82,
5-26-18-6B,32.51666667,104.0897417,C,Bedding,325,55,
5-26-18-6B,32.51666667,104.0897417,C,Bedding,120,85,
5-26-18-7,32.52059444,104.075725,C,Bedding,200,54,
5-26-18-8,32.52059444,104.075725,C,Bedding,145,65,
5-26-18-8,32.52059444,104.075725,C,Bedding,330,68,
5-26-18-8,32.52059444,104.075725,C,Bedding,335,62,
5-26-18-8,32.52059444,104.075725,C,Bedding,330,65,
5-26-18-9,32.52376111,104.0675,C,Bedding,110,48,
5-26-18-11,32.52396667,104.0594667,C,Bedding,115,65,
5-26-18-12,32.5235,104.0514861,C,Bedding,175,30,
5-26-18-13,32.52050833,104.0443833,C,Bedding,60,48,
5-26-18-14,32.506225,104.0452694,C,Bedding,75,50,
5-26-18-14,32.506225,104.0452694,C,Bedding,80,45,
5-26-18-14,32.506225,104.0452694,C,Bedding,75,44,
5-26-18-15,32.50269167,104.0458306,Tr,Cleavage,123,22,
5-26-18-15,32.50269167,104.0458306,Tr,Fault,65,15,
5-26-18-15,32.50269167,104.0458306,Tr,Bedding,85,45,
5-26-18-17,32.49828056,104.0473056,Tr,Bedding,83,35,
5-26-18-18,32.497475,104.0468028,Tr,Bedding,40,53,
5-26-18-18,32.497475,104.0468028,Tr,Cleavage,80,40,
5-26-18-18,32.497475,104.0468028,Tr,Overturned bedding,58,42,
5-26-18-19,32.49588611,104.0484722,Tr,Cleavage,94,35,
5-26-18-20,32.49254167,104.0476389,Tr,Bedding,92,41,
5-26-18-21,32.49444444,104.0476944,Tr,Bedding,70,30,
5-26-18-22,32.48775,104.0466667,Tr,Bedding,60,42,
5-26-18-24,32.49115556,104.0363361,Tr,Bedding,80,52,
5-26-18-24,32.49115556,104.0363361,Tr,Bedding,71,54,
5-26-18-24,32.49115556,104.0363361,Tr,Cleavage,50,60,
5-26-18-24,32.49115556,104.0363361,Tr,Cleavage,52,68,
5-26-18-25,32.49281111,104.0363972,Tr,Cleavage,80,90,
5-26-18-26,32.49568611,104.0292306,Tr,Bedding,55,45,
5-26-18-26,32.49568611,104.0292306,Tr,Cleavage,35,56,
5-26-18-27,32.49565278,104.0264722,Tr,Bedding,50,37,
5-26-18-27,32.49565278,104.0264722,Tr,Cleavage,30,48,
5-26-18-27,32.49565278,104.0264722,Tr,Bedding,71,52,
5-26-18-29,32.50078056,104.0240944,Tr,Bedding,60,18,
5-26-18-30,32.50426111,104.0163694,Tr,Bedding,55,65,
5-26-18-31,32.50591667,104.0062722,Tr,Bedding,60,30,
5-26-18-33,32.51263889,103.9905278,Tr,Bedding,80,40,
5-26-18-33,32.51263889,103.9905278,Tr,Bedding,286,30,
5-26-18-33,32.51263889,103.9905278,Tr,Bedding,196,30,
5-26-18-34,32.51258611,103.9893056,Tr?,Bedding,220,36,
5-26-18-35,32.50756389,103.9460083,C,Bedding,235,51,
5-27-18-1A,32.50714722,103.9475167,Tr,Bedding,165,38,
5-27-18-1B,32.50631111,103.9498194,C,Bedding,145,44,
5-27-18-2A,32.505975,103.9500861,C,Bedding,130,20,
5-27-18-2B,32.506925,103.95165,C,Bedding,85,60,
5-27-18-3,32.50723333,103.95275,C,Bedding,108,33,
5-27-18-4,32.50893056,103.9586306,Tr,Bedding,116,18,
5-27-18-5A,32.50906389,103.9600028,P,Bedding,,,
5-27-18-5B,32.50906667,103.9603222,,Bedding,94,25,
5-27-18-5C,32.50945556,103.960475,P,Bedding,120,32,
5-27-18-5C,32.50945556,103.960475,P,Bedding,30,30,
5-27-18-5D,32.51150833,103.9640806,P,Bedding,95,25,
5-27-18-5D,32.51150833,103.9640806,P,Bedding,90,28,
5-27-18-5D,32.51150833,103.9640806,P,Bedding,125,33,
5-27-18-5D,32.51150833,103.9640806,P,Bedding,120,25,
5-27-18-6A,32.51085556,103.9649472,P,Bedding,100,46,
5-27-18-6B,32.51390833,103.9669056,P,Bedding,110,50,
5-27-18-6B,32.51390833,103.9669056,C,Bedding,105,58,
5-27-18-6B,32.51390833,103.9669056,C,Bedding,105,48,
5-27-18-7A,32.5142,103.9684167,C,Bedding,103,48,
5-27-18-7B,32.51663333,103.9733917,C,Bedding,105,45,
5-27-18-8A,32.51715278,103.9747972,C,Bedding,83,44,
5-27-18-8A,32.51715278,103.9747972,C,Bedding,90,72,
5-27-18-8B,32.51772222,103.9782389,C,Bedding,85,50,
5-27-18-8C,32.51966944,103.9829,C,Bedding,85,97,
5-27-18-9,32.51290278,103.9903111,C,Bedding,85,55,
5-27-18-10A,32.51265278,103.9915083,P,Bedding,260,60,
5-27-18-10A,32.51265278,103.9915083,P,Bedding,260,45,
5-27-18-10A,32.51265278,103.9915083,P,Bedding,285,70,
5-28-18-1B,32.41519444,104.5909556,S,Foliation,145,77,
5-28-18-1B,32.41519444,104.5909556,S,Foliation,130,80,
5-28-18-1B,32.41519444,104.5909556,S,Foliation,30,55,
5-28-18-1B,32.41519444,104.5909556,S,Foliation,10,25,
5-28-18-2A,32.41563056,104.5889583,S,Foliation,150,85,
5-28-18-2B,32.41583611,104.5884056,S,Foliation,82,33,
5-28-18-3A,32.41690833,104.5890944,Granitoid,Fault,220,75,
5-28-18-3B,32.41788333,104.5899694,S,Foliation,355,70,
5-28-18-3C,32.4192,104.5912889,S,Foliation,130,65,
5-28-18-3D,32.42010833,104.5930556,S,Foliation,165,83,
5-28-18-3E,32.42039167,104.5932417,S,Foliation,100,73,
5-28-18-4,32.42726389,104.6482278,S,Foliation,100,90,
5-28-18-5,32.39825833,104.6586306,S,Foliation,245,32,
5-28-18-6,32.40076389,104.6790583,S,Foliation,105,28,
5-28-18-7,32.39865556,104.6803278,S,Foliation,43,105,
5-28-18-8,32.40282222,104.6797083,S,Foliation,120,33,
5-28-18-10,32.39787778,104.6574306,,Foliation,330,85,
5-28-18-11A,32.39845833,104.6581472,,Foliation,130,84,
5-28-18-11B,32.39901944,104.6582778,,Foliation,275,73,
5-28-18-11C,32.52403889,104.5409389,,Fault,300,70,
5-29-18-2,32.5193,104.7900611,,Fault,120,70,
5-29-18-2,32.5193,104.7900611,,Bedding,95,35,
5-30-18-1B,32.49628056,104.8210222,,Bedding,330 (150???),75,
5-30-18-2,32.49296944,104.8220333,,Foliation,247,82,
5-30-18-3,32.47506944,104.7940306,,Bedding,240,70,
5-30-18-4,32.47343056,104.7947667,S,Foliation,175,50,
5-30-18-5,32.44798611,104.788825,S,Foliation,240,65,
5-30-18-6,32.44731389,104.7842861,,Foliation,35,75,
5-30-18-7,32.44576667,104.7808222,,Foliation,155,67,
5-30-18-8,32.46303889,104.7741972,,Foliation,225,87,
5-30-18-9,32.47522778,104.7686694,,Foliation,75,85,
5-30-18-9,32.47522778,104.7686694,,Bedding,71,81,
5-30-18-11,32.43789167,104.7553972,,Fault,270,63,
5-30-18-11,32.43789167,104.7553972,,Bedding,250,59,
5-30-18-12,32.43015,104.7483583,,Foliation,334,44,
5-30-18-13,32.42073611,104.7470528,,Foliation,255,86,
5-30-18-14,32.39870278,104.7214222,,Foliation,260,90,
5-30-18-15,32.39474444,104.703575,,Foliation,255,85,
5-30-18-16,32.45827222,104.7073833,,Foliation,105,55,
5-30-18-18,32.40516111,104.6591806,,Bedding,75,77,
5-31-18-3,32.35600278,104.6838,,Foliation,240,68,
5-31-18-4,32.34881111,104.6845083,,Foliation,235,60,
5-31-18-5,32.33796667,104.6935111,,Foliation,50,75,
5-31-18-6,32.33094167,104.7089833,,Foliation,205,58,
5-31-18-7,32.3235389,104.7128556,,Foliation,225,59,
5-31-18-8,32.30573611,104.7493972,,Foliation,205,66,
5-31-18-9,32.30230839,104.7544778,,Foliation,225,44,
5-31-18-9,32.30230839,104.7544778,,Foliation,225,54,
5-31-18-13,32.40327778,104.8305,,Foliation,40,55,
5-31-18-15,32.36878474,104.6624639,,Foliation,230,72,
5-31-18-15,32.36878474,104.6624639,,Fault,46,90,
5-31-18-16,32.47016667,104.5143889,,Foliation,228,83,
6-1-18-1,32.46183333,104.4797694,S,Foliation,110,53,
6-1-18-2,32.46420366,104.4223056,S,Foliation,115,57,
6-1-18-3,32.52463889,104.1567917,D,Foliation,85,78,
6-1-18-4,32.54931389,104.1335972,D,Foliation,60,77,
6-1-18-5,32.54905556,104.1353611,,Foliation,355,78,
6-1-18-6,32.55394722,104.1339861,,Foliation,85,22,
6-1-18-7,32.55795,104.1326083,,Foliation,335,40,
6-1-18-8,32.56974167,104.1281111,P,Foliation,180,84,
6-1-18-9,32.59475278,104.1361389,P,Bedding,170,83,
6-1-18-10,32.66803611,104.0944611,,Bedding,335,59,
6-1-18-11,32.67105833,104.0865417,D,Bedding,320,40,
6-1-18-14,32.72808333,104.04335,P,Bedding,58,48,
6-1-18-15,32.72665556,104.033125,P,Bedding,315,44,
6-1-18-16,32.72838889,104.0071722,P,Bedding,125,40,
6-1-18-17B,32.73182778,104.0056056,P,Bedding,50,80,
6-1-18-18A,32.73322778,104.0040389,P,Bedding,110,75,
6-1-18-18A,32.73322778,104.0040389,P,Bedding,75,82,
6-1-18-18B,32.74820833,104.0025861,P,Bedding,102,76,
6-1-18-19,32.75739444,103.9921806,P,Bedding,85,80,
6-1-18-20,32.7577,103.9787333,P,Bedding,123,64,
6-1-18-21,32.75469167,103.9732778,P,Bedding,13,77,
6-1-18-22,32.75253611,103.9676639,P,Bedding,57,90,
6-1-18-22,32.75253611,103.9676639,P,Fault,150,74,
6-1-18-23A,32.75220556,103.9656556,P,Bedding,218,80,
6-1-18-23A,32.75220556,103.9656556,P,Bedding,146,74,
6-1-18-23B,32.75270278,103.9574833,P,Bedding,141,71,
6-1-18-24A,32.75611389,103.95205,P,Bedding,135,45,
6-1-18-24B,32.76284167,103.9390167,P,Bedding,114,40,
6-1-18-25A,32.76330556,103.9353389,,Bedding,90,69,
6-1-18-26,32.77120833,103.9205361,,Fault,115,72,
6-1-18-27,32.77869444,103.8976139,,Bedding,83,88,
6-1-18-28,32.77468333,103.8952139,,Bedding,12,80,
6-1-18-29A,32.77018611,103.8938528,,Bedding,103,76,
6-1-18-30,32.76168889,103.8520722,,Fault,100,53,
6-2-18-1,32.76045,103.8463333,,Fault,267,78,
6-2-18-1,32.76045,103.8463333,,Fault,275,88,
6-2-18-2A,32.75965,103.8461167,Tr,Bedding,100,88,
6-2-18-3,32.7595,103.8367306,Tr,Bedding,310,47,
6-2-18-4,32.75425556,103.8215278,Tr,Bedding,331,56,
6-2-18-5,32.74399722,103.7476722,Tr,Bedding,295,80,
6-2-18-6,32.74399722,103.7476722,Tr,Bedding,303,78,
6-2-18-7A,32.74236944,103.7243917,Tr,Bedding,200,46,
6-2-18-8A,32.74706944,103.7218083,Tr,Bedding,100,73,
6-2-18-9D,32.74013611,103.7016167,Tr,Bedding,195,60,
6-2-18-11,32.75095556,103.6817056,Tr,Bedding,262,68,
6-2-18-13,32.73871111,103.6719389,Tr,Bedding,255,60,
6-2-18-14,32.73719444,103.6685889,Tr,Bedding,80,67,
6-2-18-14,32.73719444,103.6685889,Tr,Bedding,60,65,
6-2-18-16,32.73426667,103.6655444,Tr,Bedding,115,89,
6-2-18-16,32.73426667,103.6655444,Tr,Bedding,235,2,
6-2-18-17,32.73874722,103.6661,Tr,Bedding,106,21,
6-2-18-18A,32.74063889,103.6618361,Tr,Bedding,255,70,
6-2-18-19,32.74673333,103.6459417,Tr,Bedding,153,38,
6-2-18-19,32.74673333,103.6459417,Tr,Bedding,15,54,
6-3-18-1,32.79933333,103.6892722,Cz,Bedding,244,12,
6-3-18-1,32.79933333,103.6892722,Cz,Bedding,270,20,
6-3-18-2,32.79920556,103.6910444,C,Bedding,96,69,
6-3-18-3A,32.79914444,103.6930639,C,Bedding,76,90,
6-3-18-3A,32.79914444,103.6930639,C,Bedding,91,90,
6-3-18-3A,32.79914444,103.6930639,C,Bedding,108,84,
6-3-18-3B,32.79792222,103.6982361,C,Bedding,96,87,
6-3-18-4,32.78405556,103.7066694,P,Bedding,108,90,
6-3-18-5,32.77929167,103.7068333,P,Bedding,340,60,
6-3-18-6,32.77467222,103.7146389,,Bedding,335,78,
6-3-18-6,32.77467222,103.7146389,,Bedding,350,80,
6-3-18-7,32.77291667,103.723875,,Bedding,275,53,
6-3-18-8,32.77379444,103.72795,,Bedding,310,50,
6-3-18-9,32.77387222,103.7296472,,Bedding,270,62,
6-3-18-10,32.77389167,103.7336111,,Bedding,265,59,
6-3-18-11,32.88308889,103.6681222,,Bedding,265,59,
6-4-18-1,32.87559167,103.6628111,C,Bedding,247,65,
6-4-18-2,32.85883889,103.6696611,,Bedding,240,90,
6-4-18-3,32.91133333,103.7868139,,Bedding,250,67,
6-4-18-4,32.91316667,103.7844722,,Bedding,260,38,
6-4-18-5,32.91456111,103.7871556,,Bedding,335,67,
6-4-18-6,32.91678889,103.7855139,,Bedding,325,53,
6-4-18-7,32.92018889,103.7779139,,Bedding,290,68,
6-4-18-10,32.92344444,103.7545639,,Bedding,110,86,
6-4-18-10,32.92344444,103.7545639,,Bedding,310,59,
6-4-18-11,32.92277778,103.7499167,,Bedding,315,72,
6-4-18-12,32.9246,103.7352778,,Bedding,330,64,
6-4-18-13,32.92787778,103.7186472,P,Bedding,320,79,
